Job Title,Company,Location
Operations Officer,Operations Officer,"Sanepa, Lalitpur"
Senior UX Designer,Senior UX Designer,"Naxal, Kathmandu"
Senior Tour Executive,Senior Tour Executive,"Kamaladi, Kathmandu"
Junior System Administrator,Junior System Administrator,"Matatirtha, Chandragiri"
Administrative Assistant,Administrative Assistant,Kathmandu
Medical Sales Officer (MSO),Medical Sales Officer (MSO),"Tinkune, Kathmandu"
Account Officer,Account Officer,"Bakhundole, Lalitpur"
Senior Accountant,Senior Accountant,Kathmandu
Procurement Officer,Procurement Officer,Baluwatar
Account and Finance Controller,Account and Finance Controller,Kathmandu
Digital Marketing Tech Support,Digital Marketing Tech Support,Kathmandu
Preschool Teacher,Preschool Teacher,"Chakrapath, Maharajgunj"
Service Engineer,Service Engineer,Biratnagar
Lead Roof Technician / Asst. Sub-Engineer,Lead Roof Technician / Asst. Sub-Engineer,Lalitpur with regular field travel
Maths Teacher,Maths Teacher,"Hattigauda, Ganesh Chowk"
English Teacher,English Teacher,"Hattigauda, Ganesh Chowk."
Operations Officer,Operations Officer,Itahari
Account Support Officer,Account Support Officer,Itahari
Client Relation Assistant,Client Relation Assistant,"Shantinagar, Kathmandu"
Secondary Mathematics Teacher,Secondary Mathematics Teacher,"Khokana, Lalitpur"
Lower Secondary Science Teacher,Lower Secondary Science Teacher,"Khokana, Lalitpur"
Primary Teacher,Primary Teacher,"Khokana, Lalitpur"
BI Developer,BI Developer,"Chakupat, Lalitpur"
Sales Executive (IT Products & Solutions),Sales Executive (IT Products & Solutions),Kathmandu
Client Relation Executive,Client Relation Executive,New Baneshwor
Grade Teacher - PG - UKG,Grade Teacher - PG - UKG,"Bishalnagar, Hattigauda and Samakhushi"
Primary Level – Mathematics Teacher,Primary Level – Mathematics Teacher,"Bansbari Road, Kathmandu"
PYP Samajik Sikshya Teacher,PYP Samajik Sikshya Teacher,"Hattigauda, Kathmandu"
Sales Associate,Sales Associate,kathmandu
Singing Bowl Healing Expert,Singing Bowl Healing Expert,Boudha
Accountant,Accountant,Boudha
Primary Teacher – Grades V and VI,Primary Teacher – Grades V and VI,"Sanobharyang, Nagarjun-2, Kathmandu."
Principal,Principal,"Samakhushi, Kathmandu"
Senior Accountant,Senior Accountant,"Sidhicharan Sadak, Banasthali, Kathmandu"
Chief Financial Officer (CFO),Chief Financial Officer (CFO),Bhairahawa
Sales Executive (For UK),Sales Executive (For UK),Kathmandu
ECA / CCA In-charge,ECA / CCA In-charge,"Mid-Baneshwor, Kathmandu"
HR & Admin Officer,HR & Admin Officer,Baluwatar
Recruitment Team Lead,Recruitment Team Lead,"Minbhawan-31, Kathmandu"
Client Relation Executive,Client Relation Executive,"Minbhawan-31, Kathmandu"
Head of Finance,Head of Finance,Gyaneshwor
Computer Teacher,Computer Teacher,"Sankhamul Dhovan Pool, New Baneshwor, Kathmandu"
Front Desk Officer,Front Desk Officer,"Mandikatar, Kathmandu"
MYP English Teacher,MYP English Teacher,"Hattigauda, Kathmandu"
Business Development Officer,Business Development Officer,"Lalupate Marg, Kathmandu"
On-Trade Manager,On-Trade Manager,Kathmandu
